simulation_number,final_capital,roi,max_drawdown
1,167123.5,457.0783333333333,14.393681939744972
2,167123.5,457.0783333333333,19.784649129053854
3,167123.5,457.0783333333333,20.14697810575105
4,167123.5,457.0783333333333,22.049640850579618
5,167123.5,457.0783333333333,11.68887907802397
6,167123.5,457.0783333333333,14.953810623556581
7,167123.5,457.0783333333333,21.304866643016094
8,167123.5,457.0783333333333,18.77266421670033
9,167123.5,457.0783333333333,10.357242189190025
10,167123.5,457.0783333333333,15.938313179243838
11,167123.5,457.0783333333333,26.206372289793762
12,167123.5,457.0783333333333,15.676730852514753
13,167123.5,457.0783333333333,14.70722616328003
14,167123.5,457.0783333333333,11.100833347477044
15,167123.5,457.0783333333333,24.878700513325363
16,167123.5,457.0783333333333,9.449900076585292
17,167123.5,457.0783333333333,20.846465884550284
18,167123.5,457.0783333333333,17.883487410541356
19,167123.5,457.0783333333333,16.285679936797994
20,167123.5,457.0783333333333,15.857687420584499
21,167123.5,457.0783333333333,24.729064039408865
22,167123.5,457.0783333333333,15.733316172211854
23,167123.5,457.0783333333333,18.918294514260005
24,167123.5,457.0783333333333,29.883171344020422
25,167123.5,457.0783333333333,6.1553211888782355
26,167123.5,457.0783333333333,16.01336302895323
27,167123.5,457.0783333333333,15.628036738660231
28,167123.5,457.0783333333333,19.81704781704782
29,167123.5,457.0783333333333,15.074682187471824
30,167123.5,457.0783333333333,8.597269891667692
31,167123.5,457.0783333333333,18.91743027389715
32,167123.5,457.0783333333333,23.18241772212246
33,167123.5,457.0783333333333,29.445318202683485
34,167123.5,457.0783333333333,33.118049262706975
35,167123.5,457.0783333333333,10.594436691516208
36,167123.5,457.0783333333333,17.853673205033306
37,167123.5,457.0783333333333,21.4467163619706
38,167123.5,457.0783333333333,14.63
39,167123.5,457.0783333333333,23.44176062194202
40,167123.5,457.0783333333333,12.173640331390638
41,167123.5,457.0783333333333,25.78312350119904
42,167123.5,457.0783333333333,21.074384533260044
43,167123.5,457.0783333333333,14.092211979095282
44,167123.5,457.0783333333333,11.550729971782603
45,167123.5,457.0783333333333,11.932909340316748
46,167123.5,457.0783333333333,30.435547631057258
47,167123.5,457.0783333333333,19.326945373216944
48,167123.5,457.0783333333333,25.67169641817365
49,167123.5,457.0783333333333,16.482843767683523
50,167123.5,457.0783333333333,29.272303850955538
51,167123.5,457.0783333333333,13.392679034510275
52,167123.5,457.0783333333333,22.65533549948296
53,167123.5,457.0783333333333,7.484102396869395
54,167123.5,457.0783333333333,17.138143064068988
55,167123.5,457.0783333333333,19.868873430878708
56,167123.5,457.0783333333333,18.221666666666668
57,167123.5,457.0783333333333,17.59498259064398
58,167123.5,457.0783333333333,9.574305689832388
59,167123.5,457.0783333333333,15.049879600963193
60,167123.5,457.0783333333333,19.358289891859577
61,167123.5,457.0783333333333,36.891666666666666
62,167123.5,457.0783333333333,9.289394480436668
63,167123.5,457.0783333333333,24.159775991831747
64,167123.5,457.0783333333333,10.700564835667747
65,167123.5,457.0783333333333,29.76726726726727
66,167123.5,457.0783333333333,14.154606917360452
67,167123.5,457.0783333333333,16.040048057669203
68,167123.5,457.0783333333333,16.65139860692117
69,167123.5,457.0783333333333,13.551304637323309
70,167123.5,457.0783333333333,6.780283910275144
71,167123.5,457.0783333333333,20.654853620955315
72,167123.5,457.0783333333333,23.893791608608144
73,167123.5,457.0783333333333,19.61940697605324
74,167123.5,457.0783333333333,12.053719203669552
75,167123.5,457.0783333333333,16.773245530490627
76,167123.5,457.0783333333333,26.490811522995212
77,167123.5,457.0783333333333,42.033781680564886
78,167123.5,457.0783333333333,17.598982332772817
79,167123.5,457.0783333333333,12.60205287782243
80,167123.5,457.0783333333333,12.829375072005794
81,167123.5,457.0783333333333,18.112465048845316
82,167123.5,457.0783333333333,17.919999999999998
83,167123.5,457.0783333333333,23.170633966498357
84,167123.5,457.0783333333333,14.676685706657002
85,167123.5,457.0783333333333,21.12833067389451
86,167123.5,457.0783333333333,29.891561861182936
87,167123.5,457.0783333333333,27.591527265979167
88,167123.5,457.0783333333333,26.984846522471184
89,167123.5,457.0783333333333,36.998333333333335
90,167123.5,457.0783333333333,13.48202011896656
91,167123.5,457.0783333333333,16.890187757716483
92,167123.5,457.0783333333333,20.78081744963075
93,167123.5,457.0783333333333,14.03289541935058
94,167123.5,457.0783333333333,24.773333333333333
95,167123.5,457.0783333333333,28.483333333333334
96,167123.5,457.0783333333333,15.864125251988751
97,167123.5,457.0783333333333,14.479123870172556
98,167123.5,457.0783333333333,21.900357100669677
99,167123.5,457.0783333333333,35.22762334857367
100,167123.5,457.0783333333333,17.55159414733883
101,167123.5,457.0783333333333,15.382569081900707
102,167123.5,457.0783333333333,13.12066118065932
